subject_length,body_length,total_length,word_count,avg_word_length,unique_word_ratio,uppercase_ratio,digit_ratio,punctuation_ratio,exclamation_count,question_count,colon_count,url_count,email_count,phone_count,currency_symbol_count,attachment_hint,dear_greeting,contains_date_like,job_keyword_count,candidate_keyword_count,recruiting_keyword_count,compensation_keyword_count,business_keyword_count,support_keyword_count,job_signal_ratio,non_job_signal_ratio,is_job
38.0,352.0,391.0,66.0,4.742424242424242,0.8181818181818182,0.07868852459016394,0.020460358056265986,0.03836317135549872,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.030303030303030304,0
48.0,413.0,462.0,76.0,4.973684210526316,0.7894736842105263,0.05962059620596206,0.01948051948051948,0.023809523809523808,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0
40.0,486.0,527.0,93.0,4.559139784946237,0.7311827956989247,0.0405727923627685,0.009487666034155597,0.024667931688804556,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0967741935483871,0
38.0,393.0,432.0,74.0,4.662162162162162,0.7837837837837838,0.04956268221574344,0.004629629629629629,0.03935185185185185,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.04054054054054054,0
41.0,463.0,505.0,83.0,4.891566265060241,0.7590361445783133,0.05,0.011881188118811881,0.03762376237623762,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.060240963855421686,0
45.0,425.0,471.0,80.0,4.75,0.75,0.05319148936170213,0.008492569002123142,0.027600849256900213,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.05,0
43.0,373.0,417.0,70.0,4.857142857142857,0.7,0.061764705882352944,0.0,0.019184652278177457,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.07142857142857142,0
49.0,397.0,447.0,76.0,4.75,0.75,0.05322128851540616,0.008948545861297539,0.024608501118568233,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.07894736842105263,0
38.0,414.0,453.0,73.0,5.041095890410959,0.7534246575342466,0.03804347826086957,0.0,0.02869757174392936,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0136986301369863,0.0410958904109589,0
28.0,408.0,437.0,72.0,4.958333333333333,0.7083333333333334,0.03361344537815126,0.0,0.020594965675057208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.1388888888888889,0
